,rank,title,description,runtime,genre,rating,meta_score,vote,gross_earning,director,actor1,actor2,actor3,actor4
0,1,Star Wars: Episode VIII - The Last Jedi,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order.",151,"Action, Adventure, Fantasy",7.1,85.0,504823,620.18,Rian Johnson,Daisy Ridley,John Boyega,Mark Hamill,Carrie Fisher
1,2,Jumanji: Welcome to the Jungle,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",119,"Action, Adventure, Comedy",6.9,58.0,272523,404.52,Jake Kasdan,Dwayne Johnson,Karen Gillan,Kevin Hart,Jack Black
2,3,It,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",135,Horror,7.3,69.0,414334,327.48,Andy Muschietti,Bill Skarsgård,Jaeden Martell,Finn Wolfhard,Sophia Lillis
3,4,Logan,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",137,"Action, Drama, Sci-Fi",8.1,77.0,591898,226.28,James Mangold,Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook
4,5,Blade Runner 2049,"A young blade runner's discovery of a long-buried secret leads him to track down former blade runner Rick Deckard, who's been missing for thirty years.",164,"Action, Drama, Mystery",8.0,81.0,405587,92.05,Denis Villeneuve,Harrison Ford,Ryan Gosling,Ana de Armas,Dave Bautista
5,6,Call Me by Your Name,"In 1980s Italy, a romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.",132,"Drama, Romance",7.9,93.0,170897,18.1,Luca Guadagnino,Armie Hammer,Timothée Chalamet,Michael Stuhlbarg,Amira Casar
6,7,Good Time,"After a botched bank robbery lands his younger brother in prison, Connie Nikas embarks on a twisted odyssey through New York City's underworld to get his brother Nick out of jail.",101,"Crime, Drama, Thriller",7.3,80.0,60069,2.03,Benny Safdie,|,Robert Pattinson,Benny Safdie,Jennifer Jason Leigh
7,8,The Greatest Showman,Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.,105,"Biography, Drama, Musical",7.6,48.0,211103,174.34,Michael Gracey,Hugh Jackman,Michelle Williams,Zac Efron,Zendaya
8,9,Lady Bird,"In 2002, an artistically inclined seventeen-year-old girl comes of age in Sacramento, California.",94,"Comedy, Drama",7.4,94.0,193453,48.96,Greta Gerwig,Saoirse Ronan,Laurie Metcalf,Tracy Letts,Lucas Hedges
9,10,Thor: Ragnarok,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",130,"Action, Adventure, Comedy",7.9,74.0,525020,315.06,Taika Waititi,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Mark Ruffalo
10,11,Get Out,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",104,"Horror, Mystery, Thriller",7.7,84.0,435097,176.04,Jordan Peele,Daniel Kaluuya,Allison Williams,Bradley Whitford,Catherine Keener
11,12,It Comes at Night,"Secure within a desolate home as an unnatural threat terrorizes the world, a man has established a tenuous domestic order with his wife and son. Then a desperate young family arrives seeking refuge.",91,"Horror, Mystery",6.2,78.0,74095,13.99,Trey Edward Shults,Joel Edgerton,Christopher Abbott,Carmen Ejogo,Riley Keough
12,13,xXx: Return of Xander Cage,"Xander Cage is left for dead after an incident, though he secretly returns to action for a new, tough assignment with his handler Augustus Gibbons.",107,"Action, Adventure, Thriller",5.2,42.0,80592,44.9,D.J. Caruso,Vin Diesel,Donnie Yen,Deepika Padukone,Kris Wu
13,14,Beauty and the Beast,"A selfish prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.",129,"Family, Fantasy, Musical",7.2,65.0,250683,504.01,Bill Condon,Emma Watson,Dan Stevens,Luke Evans,Josh Gad
14,15,Dunkirk,"Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army, and evacuated during a fierce battle in World War II.",106,"Action, Drama, History",7.9,94.0,492275,188.37,Christopher Nolan,Fionn Whitehead,Barry Keoghan,Mark Rylance,Tom Hardy
15,16,Shot Caller,A newly released prisoner is forced by the leaders of his gang to orchestrate a major crime with a brutal rival gang on the streets of Southern California.,121,"Crime, Drama, Thriller",7.3,59.0,63341,0.0,Ric Roman Waugh,Nikolaj Coster-Waldau,Omari Hardwick,Lake Bell,Jon Bernthal
16,17,Murder on the Orient Express,"When a murder occurs on the train on which he's travelling, celebrated detective Hercule Poirot is recruited to solve the case.",114,"Crime, Drama, Mystery",6.5,52.0,188841,102.83,Kenneth Branagh,Kenneth Branagh,Penélope Cruz,Willem Dafoe,Judi Dench
17,18,A Christmas Prince,"When a reporter goes undercover as a tutor to get the inside scoop on a playboy prince, she gets tangled in some royal intrigue and ends up finding love - but will she be able to keep up her lie?",92,"Comedy, Family, Romance",5.7,0.0,14326,0.0,Alex Zamm,Rose McIver,Ben Lamb,Alice Krige,Honor Kneafsey
18,19,American Made,"The story of Barry Seal, an American pilot who became a drug-runner for the CIA in the 1980s in a clandestine operation that would be exposed as the Iran-Contra Affair.",115,"Action, Biography, Comedy",7.1,65.0,142394,51.34,Doug Liman,Tom Cruise,Domhnall Gleeson,Sarah Wright,Jesse Plemons
19,20,"I, Tonya","Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes.",119,"Biography, Comedy, Drama",7.5,77.0,154594,30.01,Craig Gillespie,Margot Robbie,Sebastian Stan,Allison Janney,Julianne Nicholson
20,21,A Bad Moms Christmas,"As their own mothers drop in unexpectedly, our three under-appreciated and over-burdened moms rebel against the challenges and expectations of the Super Bowl for mothers: Christmas.",104,Comedy,5.6,42.0,37010,72.11,Jon Lucas,|,Mila Kunis,Kristen Bell,Kathryn Hahn
21,22,Justice League,"Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy.",120,"Action, Adventure, Fantasy",6.4,45.0,349414,229.02,Zack Snyder,Ben Affleck,Gal Gadot,Jason Momoa,Ezra Miller
22,23,The Shape of Water,"At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.",123,"Adventure, Drama, Fantasy",7.3,87.0,331177,63.86,Guillermo del Toro,Sally Hawkins,Octavia Spencer,Michael Shannon,Doug Jones
23,24,Wonder Woman,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",141,"Action, Adventure, Fantasy",7.4,76.0,511173,412.56,Patty Jenkins,Gal Gadot,Chris Pine,Robin Wright,Lucy Davis
24,25,Three Christs,"Three Christs follows Dr. Alan Stone who is treating three paranoid schizophrenic patients at the Ypsilanti State Hospital in Michigan, each of whom believed they were Jesus Christ. What transpires is both comic and deeply moving.",117,Drama,5.8,0.0,184,0.0,Jon Avnet,Richard Gere,Peter Dinklage,Walton Goggins,Bradley Whitford
25,26,Guardians of the Galaxy Vol. 2,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",136,"Action, Adventure, Comedy",7.6,67.0,516644,389.81,James Gunn,Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel
26,27,Valerian and the City of a Thousand Planets,"A dark force threatens Alpha, a vast metropolis and home to species from a thousand planets. Special operatives Valerian and Laureline must race to identify the marauding menace and safeguard not just Alpha, but the future of the universe.",137,"Action, Adventure, Fantasy",6.5,51.0,148727,41.19,Luc Besson,Dane DeHaan,Cara Delevingne,Clive Owen,Rihanna
27,28,Baby Driver,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",113,"Action, Crime, Drama",7.6,86.0,390928,107.83,Edgar Wright,Ansel Elgort,Jon Bernthal,Jon Hamm,Eiza González
28,29,The Snowman,Detective Harry Hole investigates the disappearance of a woman whose scarf is found wrapped around an ominous-looking snowman.,119,"Crime, Drama, Mystery",5.1,23.0,52400,6.67,Tomas Alfredson,Michael Fassbender,Rebecca Ferguson,Charlotte Gainsbourg,Jonas Karlsson
29,30,Wonder,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.",113,"Drama, Family",8.0,66.0,120657,132.42,Stephen Chbosky,Jacob Tremblay,Owen Wilson,Izabela Vidovic,Julia Roberts
30,31,King Arthur: Legend of the Sword,"Robbed of his birthright, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword from the stone, he is forced to acknowledge his true legacy - whether he likes it or not.",126,"Action, Adventure, Drama",6.7,41.0,176675,39.18,Guy Ritchie,Charlie Hunnam,Astrid Bergès-Frisbey,Jude Law,Djimon Hounsou
31,32,Transformers: The Last Knight,"A deadly threat from Earth's history reappears, and a hunt for a lost artifact takes place between Autobots and Decepticons, while Optimus Prime encounters his creator in space.",154,"Action, Adventure, Sci-Fi",5.2,27.0,125358,130.17,Michael Bay,Mark Wahlberg,Anthony Hopkins,Josh Duhamel,Laura Haddock
32,33,Downsizing,"A social satire in which a man realizes he would have a better life if he were to shrink himself to five inches tall, allowing him to live in wealth and splendor.",135,"Drama, Sci-Fi",5.7,63.0,85458,24.45,Alexander Payne,Matt Damon,Christoph Waltz,Hong Chau,Kristen Wiig
